Name,Alcoholic,Photo,Glass,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Method,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15
57 Chevy with a White License Plate,Alcoholic,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,Creme de Cacao,,,,,,,Vodka,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz white ,,,,,,,1 oz , , , , , ,,
1-900-FUK-MEUP,Alcoholic,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Absolut Kurant,,,,,,,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/2 oz , , , , ,,,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , 
110 in the shade,Alcoholic,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,,,,,,,Tequila,,,,,,,,Drop shooter in glass. Fill with beer,16 oz ,,,,,,,1.5 oz , , , , , ,,
151 Florida Bushwacker,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Malibu rum,,,,,,,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , 
155 Belmont,Alcoholic,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Dark rum,,,,,,,Light rum,Vodka,Orange juice,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot ,,,,,,,2 shots ,1 shot ,1 shot , , , , , 
24k nightmare,Alcoholic,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,Goldschlager,,,,,,,Jägermeister,Rumple Minze,151 proof rum,,,,,,"Add over ice,shake and pour.",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , 
252,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,151 proof rum,,,,,,,Wild Turkey,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick",1/2 shot Bacardi ,,,,,,,1/2 shot , , , , , ,,
3 Wise Men,Alcoholic,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,,put them them in a glass... and slam it to tha head.,1/3 oz ,,,,,,,1/3 oz ,1/3 oz , , , , , ,
3-Mile Long Island Iced Tea,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,,,,,,,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , 
410 Gone,Alcoholic,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,,,,,,,Coca-Cola,,,,,,,,,2-3 oz,,,,,,,,,,,,,,
